en_word,target_word,lang,en_senses,target_senses,shared_senses,similarity,category
article,article,fr,1,1,1,1.0,Monosemous-Shared
time,temps,fr,1,1,1,0.9723283648490906,Monosemous-Shared
state,état,fr,1,1,1,0.9065226912498474,Monosemous-Shared
being,être,fr,1,2,1,0.8824111819267273,Polysemous-Partial
group,groupe,fr,1,1,1,0.9764226078987122,Monosemous-Shared
life,vie,fr,1,1,1,0.7829638719558716,Monosemous-Shared
service,service,fr,1,1,1,1.0,Monosemous-Shared
need,besoin,fr,1,1,1,0.9476380348205566,Monosemous-Shared
form,forme,fr,1,1,1,0.7863110899925232,Monosemous-Shared
find,trouver,fr,1,1,1,0.9216558337211609,Monosemous-Shared
position,position,fr,1,1,1,1.0,Monosemous-Shared
press,presse,fr,1,1,1,0.9055317640304565,Monosemous-Shared
act,acte,fr,1,1,1,0.9300544857978821,Monosemous-Shared
person,personne,fr,1,1,1,0.5381500124931335,Monosemous-Shared
location,localisation,fr,1,1,1,0.5981274843215942,Monosemous-Shared
location,lieu,fr,1,1,1,0.7453340888023376,Monosemous-Shared
event,évènement,fr,1,1,1,0.9470852613449097,Monosemous-Shared
event,événement,fr,1,1,1,0.9681384563446045,Monosemous-Shared
action,action,fr,1,1,1,1.0,Monosemous-Shared
space,espace,fr,1,1,1,0.9448128938674927,Monosemous-Shared
process,processus,fr,1,1,1,0.9720754027366638,Monosemous-Shared
release,libération,fr,1,1,1,0.575133740901947,Monosemous-Shared
put,mettre,fr,1,1,1,0.838258683681488,Monosemous-Shared
course,cours,fr,1,1,1,0.9122276306152344,Monosemous-Shared
performance,performance,fr,2,1,1,1.0,Polysemous-Partial
return,retour,fr,3,4,3,0.7899964451789856,Polysemous-Partial
unit,unité,fr,1,1,1,0.6158657073974609,Monosemous-Shared
winning,gagnant,fr,1,1,1,0.962356686592102,Monosemous-Shared
food,nourriture,fr,1,1,1,0.9492142200469971,Monosemous-Shared
thing,chose,fr,2,3,2,0.5211665630340576,Polysemous-Partial
call,appeler,fr,1,1,1,0.8855685591697693,Monosemous-Shared
success,succès,fr,1,2,1,0.9542365074157715,Polysemous-Partial
success,réussite,fr,1,1,1,0.9578040242195129,Monosemous-Shared
shot,coup,fr,1,2,0,0.408888578414917,Polysemous-Partial
occupation,occupation,fr,1,1,1,1.0,Monosemous-Shared
plant,végétal,fr,1,1,1,0.7000265121459961,Monosemous-Shared
plant,plante,fr,1,1,1,0.9871788620948792,Monosemous-Shared
leave,partir,fr,1,1,1,0.8454219698905945,Monosemous-Shared
fall,chute,fr,2,1,1,0.48798680305480957,Polysemous-Partial
appearance,apparition,fr,1,2,1,0.7248157262802124,Polysemous-Partial
appearance,aspect,fr,1,1,1,0.6312180161476135,Monosemous-Shared
entry,entrée,fr,1,2,1,0.8297944664955139,Polysemous-Partial
cause,cause,fr,1,2,1,1.0,Polysemous-Partial
knowledge,savoir,fr,1,1,1,0.7623340487480164,Monosemous-Shared
knowledge,connaissance,fr,1,1,1,0.9845201969146729,Monosemous-Shared
draft,brouillon,fr,1,1,1,0.27829110622406006,Monosemous-Shared
ball,boule,fr,1,1,1,0.7789968252182007,Monosemous-Shared
ball,balle,fr,1,2,1,0.9738655090332031,Polysemous-Partial
ball,ballon,fr,1,1,1,0.5829169750213623,Monosemous-Shared
heritage,héritage,fr,1,1,1,0.9291895031929016,Monosemous-Shared
heritage,patrimoine,fr,1,1,1,0.9620044827461243,Monosemous-Shared
pressure,pression,fr,1,2,1,0.9917119741439819,Polysemous-Partial
grant,subvention,fr,1,1,1,0.6012125611305237,Monosemous-Shared
effort,effort,fr,1,1,1,1.0,Monosemous-Shared
cell,cellule,fr,1,1,1,0.9579147100448608,Monosemous-Shared
contact,contact,fr,1,1,1,1.0,Monosemous-Shared
traffic,trafic,fr,1,1,1,0.9531365036964417,Monosemous-Shared
bowl,gamelle,fr,1,1,0,0.5541256666183472,Monosemous-Shared
animal,animal,fr,1,1,1,1.0,Monosemous-Shared
draw,dessiner,fr,1,1,1,0.9109273552894592,Monosemous-Shared
object,objet,fr,1,3,1,0.9131832718849182,Polysemous-Partial
credit,crédit,fr,2,2,2,0.9919536113739014,Polysemous-Full
communication,communication,fr,1,1,1,1.0,Monosemous-Shared
failure,échec,fr,2,1,1,0.9652685523033142,Polysemous-Partial
failure,défaillance,fr,2,1,1,0.9466262459754944,Polysemous-Partial
magic,magie,fr,1,1,1,0.9645828008651733,Monosemous-Shared
launch,lancement,fr,1,2,1,0.8435963988304138,Polysemous-Partial
launch,lancer,fr,1,1,0,0.45681703090667725,Monosemous-Shared
escape,évasion,fr,1,2,1,0.7947400808334351,Polysemous-Partial
shape,forme,fr,1,1,1,0.7456028461456299,Monosemous-Shared
flora,flore,fr,1,1,1,0.8820571899414062,Monosemous-Shared
entrance,entrée,fr,1,2,1,0.7896788716316223,Polysemous-Partial
retirement,retraite,fr,1,1,1,0.9665138721466064,Monosemous-Shared
discovery,découverte,fr,1,1,1,0.980808436870575,Monosemous-Shared
error,erreur,fr,2,2,2,0.8761259317398071,Polysemous-Full
measure,mesure,fr,1,1,1,0.9395785331726074,Monosemous-Shared
hook,hameçon,fr,1,1,1,0.45971810817718506,Monosemous-Shared
landing,atterrissage,fr,2,2,2,0.7221125364303589,Polysemous-Full
marketing,marketing,fr,1,1,1,1.0,Monosemous-Shared
marketing,commercialisation,fr,1,1,1,0.8230254650115967,Monosemous-Shared
rescue,sauvetage,fr,1,3,1,0.741685152053833,Polysemous-Partial
hop,houblon,fr,1,1,1,0.5351670980453491,Monosemous-Shared
purchase,achats,fr,1,1,0,0.9431658983230591,Monosemous-Shared
purchase,acheter,fr,1,1,1,0.8428654074668884,Monosemous-Shared
purchase,achat,fr,1,3,1,0.9604576826095581,Polysemous-Partial
drawing,dessin,fr,1,1,1,0.9532011151313782,Monosemous-Shared
drawing,dessiner,fr,1,1,0,0.9573737978935242,Monosemous-Shared
reception,réception,fr,1,1,1,0.8802341818809509,Monosemous-Shared
interpretation,interprétation,fr,1,1,1,0.9701690673828125,Monosemous-Shared
shopping,achats,fr,1,1,0,0.8816505074501038,Monosemous-Shared
shopping,shopping,fr,1,1,1,1.0,Monosemous-Shared
restoration,restauration,fr,1,1,1,0.956950306892395,Monosemous-Shared
relation,relation,fr,2,2,2,1.0,Polysemous-Full
arrival,arrivée,fr,2,2,2,0.7296186089515686,Polysemous-Full
depression,dépression,fr,1,1,1,0.9956240653991699,Monosemous-Shared
interaction,interaction,fr,1,1,1,1.0,Monosemous-Shared
achievement,accomplissement,fr,1,1,1,0.7616674900054932,Monosemous-Shared
jump,sauter,fr,1,1,0,0.6398922801017761,Monosemous-Shared
jump,saut,fr,1,2,1,0.8022393584251404,Polysemous-Partial
feeling,sentiment,fr,1,1,1,0.7803609371185303,Monosemous-Shared
