en_word,fr_word,en_senses,fr_senses,shared_senses,en_synsets,fr_synsets,shared_synsets_list,similarity,category
article,article,1,1,1,['article.n.02'],['article.n.02'],['article.n.02'],1.0,Monosemous-Shared
time,temps,1,1,1,['time.n.05'],['time.n.05'],['time.n.05'],0.972328245639801,Monosemous-Shared
state,état,1,1,1,['state.n.02'],['state.n.02'],['state.n.02'],0.9065226912498474,Monosemous-Shared
being,être,1,2,1,['organism.n.01'],"['animal.n.01', 'organism.n.01']",['organism.n.01'],0.8824111223220825,Polysemous-Partial
group,groupe,1,1,1,['group.n.01'],['group.n.01'],['group.n.01'],0.9764224886894226,Monosemous-Shared
life,vie,1,1,1,['life.n.10'],['life.n.10'],['life.n.10'],0.7829639911651611,Monosemous-Shared
service,service,1,1,1,['service.n.15'],['service.n.15'],['service.n.15'],1.0,Monosemous-Shared
need,besoin,1,1,1,['motivation.n.01'],['motivation.n.01'],['motivation.n.01'],0.9476380348205566,Monosemous-Shared
form,forme,1,1,1,['shape.n.02'],['shape.n.02'],['shape.n.02'],0.7863110899925232,Monosemous-Shared
find,trouver,1,1,1,['discovery.n.01'],['discovery.n.01'],['discovery.n.01'],0.9216557145118713,Monosemous-Shared
position,position,1,1,1,['position.n.16'],['position.n.16'],['position.n.16'],1.0,Monosemous-Shared
press,presse,1,1,1,['press.n.09'],['press.n.09'],['press.n.09'],0.9055317640304565,Monosemous-Shared
act,acte,1,1,1,['act.n.02'],['act.n.02'],['act.n.02'],0.9300544857978821,Monosemous-Shared
person,personne,1,1,1,['person.n.01'],['person.n.01'],['person.n.01'],0.5381500124931335,Monosemous-Shared
location,localisation,1,1,1,['location.n.01'],['location.n.01'],['location.n.01'],0.5981274843215942,Monosemous-Shared
location,lieu,1,1,1,['location.n.01'],['location.n.01'],['location.n.01'],0.7453340888023376,Monosemous-Shared
event,évènement,1,1,1,['event.n.01'],['event.n.01'],['event.n.01'],0.9470853805541992,Monosemous-Shared
event,événement,1,1,1,['event.n.01'],['event.n.01'],['event.n.01'],0.9681384563446045,Monosemous-Shared
action,action,1,1,1,['action.n.01'],['action.n.01'],['action.n.01'],1.0,Monosemous-Shared
space,espace,1,1,1,['space.n.01'],['space.n.01'],['space.n.01'],0.9448128938674927,Monosemous-Shared
process,processus,1,1,1,['process.n.06'],['process.n.06'],['process.n.06'],0.9720754027366638,Monosemous-Shared
release,libération,1,1,1,['liberation.n.01'],['liberation.n.01'],['liberation.n.01'],0.575133740901947,Monosemous-Shared
put,mettre,1,1,1,['put_option.n.02'],['put_option.n.02'],['put_option.n.02'],0.838258683681488,Monosemous-Shared
course,cours,1,1,1,['course.n.04'],['course.n.04'],['course.n.04'],0.9122276306152344,Monosemous-Shared
performance,performance,2,1,1,"['performance.n.04', 'performance.n.03']",['performance.n.04'],['performance.n.04'],1.0,Polysemous-Partial
return,retour,3,4,3,"['reappearance.n.02', 'restitution.n.03', 'return.n.02']","['reappearance.n.02', 'restitution.n.03', 'repatriation.n.01', 'return.n.02']","['reappearance.n.02', 'restitution.n.03', 'return.n.02']",0.7899964451789856,Polysemous-Partial
unit,unité,1,1,1,['whole.n.02'],['whole.n.02'],['whole.n.02'],0.6158656477928162,Monosemous-Shared
winning,gagnant,1,1,1,['winning.n.01'],['winning.n.01'],['winning.n.01'],0.962356686592102,Monosemous-Shared
food,nourriture,1,1,1,['food.n.01'],['food.n.01'],['food.n.01'],0.9492142200469971,Monosemous-Shared
thing,chose,2,3,2,"['thing.n.02', 'thing.n.12']","['object.n.01', 'thing.n.02', 'thing.n.12']","['thing.n.12', 'thing.n.02']",0.5211665630340576,Polysemous-Partial
call,appeler,1,1,1,['call_option.n.02'],['call_option.n.02'],['call_option.n.02'],0.8855685591697693,Monosemous-Shared
success,succès,1,2,1,['success.n.02'],"['success.n.02', 'accomplishment.n.01']",['success.n.02'],0.9542365074157715,Polysemous-Partial
success,réussite,1,1,1,['success.n.02'],['success.n.02'],['success.n.02'],0.9578040242195129,Monosemous-Shared
shot,coup,1,2,0,['blastoff.n.01'],"['coup.n.02', 'hit.n.01']",[],0.40888845920562744,Polysemous-Partial
occupation,occupation,1,1,1,['occupation.n.04'],['occupation.n.04'],['occupation.n.04'],1.0,Monosemous-Shared
